Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,231,231,0,50,181,2,2,NA,NA,2,NA,NA,NA,NA,NA,170,170,NA,11,159,NA,NA,NA,NA,NA,7,7,NA,7,NA,52,52,NA,32,20,0,NA,0,0,NA,April
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,478,478,0,221,257,13,13,NA,NA,13,NA,NA,NA,NA,NA,271,271,NA,112,159,14,14,NA,14,NA,19,19,NA,19,NA,161,161,NA,76,85,0,NA,0,0,NA,April
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,1,1,0,0,1,0,0,NA,NA,0,0,0,NA,0,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,13,10,3,3,10,10,10,NA,NA,10,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,April
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,9,9,0,0,9,9,9,NA,NA,9,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,11,11,0,0,11,11,11,NA,NA,11,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,179,146,33,101,78,24,24,NA,NA,24,NA,NA,NA,NA,NA,55,55,NA,41,14,NA,NA,NA,NA,NA,1,1,NA,1,NA,66,66,NA,28,38,33,NA,33,31,2,April
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,72,72,0,0,72,40,40,NA,NA,40,NA,NA,NA,NA,NA,32,32,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,46,46,0,0,46,37,37,NA,NA,37,NA,NA,NA,NA,NA,9,9,NA,0,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,87,76,11,37,50,11,11,NA,NA,11,2,2,NA,2,NA,33,33,NA,20,13,3,3,NA,3,NA,1,1,NA,1,NA,26,26,NA,2,24,11,NA,11,9,2,April
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,5,0,5,5,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,5,NA,5,5,NA,April
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,1,0,1,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,April
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,3,0,3,3,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,NA,April
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,2,0,2,2,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,2,NA,April
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,4,0,4,4,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,4,NA,April
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,948,930,18,826,122,22,22,NA,NA,22,6,6,NA,6,NA,511,511,NA,439,72,8,8,NA,8,NA,60,60,NA,60,NA,323,323,NA,295,28,18,NA,18,18,NA,April
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,44347,44322,25,34127,10220,6600,6600,NA,NA,6600,2950,2950,NA,2950,NA,15423,15423,NA,13923,1500,1395,1395,NA,1395,NA,2315,2315,NA,2315,NA,15639,15639,NA,13519,2120,25,NA,25,25,NA,April
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,4,0,4,4,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,4,NA,4,4,NA,April
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,130,119,11,117,13,0,0,NA,NA,0,NA,NA,NA,NA,NA,80,80,NA,72,8,NA,NA,NA,NA,NA,9,9,NA,9,NA,30,30,NA,25,5,11,NA,11,11,NA,April
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1325,1278,47,952,373,0,0,NA,NA,0,NA,NA,NA,NA,NA,958,958,NA,658,300,NA,NA,NA,NA,NA,80,80,NA,80,NA,240,240,NA,167,73,47,NA,47,47,NA,April
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,295,180,115,115,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,180,NA,NA,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,115,NA,115,115,NA,April
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,850,587,263,413,437,188,188,NA,NA,188,NA,NA,NA,NA,NA,290,290,NA,81,209,NA,NA,NA,NA,NA,23,23,NA,23,NA,86,86,NA,61,25,263,NA,263,248,15,April
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,160,9,151,158,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,7,7,NA,6,1,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,2,NA,1,1,151,NA,151,151,NA,April
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,80,5,75,78,2,0,0,NA,NA,0,NA,NA,NA,NA,NA,2,2,NA,2,0,1,1,NA,1,NA,0,0,NA,0,NA,2,2,NA,0,2,75,NA,75,75,NA,April
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,75,20,55,71,4,0,0,NA,NA,0,NA,NA,NA,NA,NA,8,8,NA,8,0,1,1,NA,1,NA,2,2,NA,2,NA,9,9,NA,5,4,55,NA,55,55,NA,April
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1059,966,93,839,220,78,78,NA,NA,78,19,19,NA,19,NA,523,523,NA,429,94,7,7,NA,7,NA,56,56,NA,56,NA,283,283,NA,235,48,93,NA,93,93,NA,April
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1488,1425,63,1141,347,99,99,NA,NA,99,26,26,NA,26,NA,710,710,NA,609,101,3,3,NA,3,NA,78,78,NA,78,NA,509,509,NA,362,147,63,NA,63,63,NA,April
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1514,1465,49,1179,335,87,87,NA,NA,87,11,11,NA,11,NA,734,734,NA,641,93,15,15,NA,15,NA,102,102,NA,102,NA,516,516,NA,361,155,49,NA,49,49,NA,April
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,688,433,255,273,415,188,188,NA,NA,188,NA,NA,NA,NA,NA,218,218,NA,12,206,NA,NA,NA,NA,NA,17,17,NA,17,NA,10,10,NA,4,6,255,NA,255,240,15,April
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1067,928,139,919,148,0,0,NA,NA,0,19,19,NA,19,NA,530,530,NA,435,95,8,8,NA,8,NA,56,56,NA,56,NA,315,315,NA,262,53,139,NA,139,139,NA,April
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1402,1326,76,1152,250,0,0,NA,NA,0,26,26,NA,26,NA,712,712,NA,611,101,3,3,NA,3,NA,78,78,NA,78,NA,507,507,NA,358,149,76,NA,76,76,NA,April
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1421,1373,48,1169,252,0,0,NA,NA,0,11,11,NA,11,NA,742,742,NA,649,93,15,15,NA,15,NA,104,104,NA,104,NA,501,501,NA,342,159,48,NA,48,48,NA,April
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,666,415,251,263,403,177,177,NA,NA,177,NA,NA,NA,NA,NA,213,213,NA,7,206,NA,NA,NA,NA,NA,17,17,NA,17,NA,8,8,NA,3,5,251,NA,251,236,15,April
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,72,19,53,53,19,15,15,NA,NA,15,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,4,4,NA,0,4,53,NA,53,53,NA,April
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,70,15,55,57,13,13,13,NA,NA,13,NA,NA,NA,NA,NA,0,0,NA,0,0,2,2,NA,2,NA,0,0,NA,0,NA,0,0,NA,0,0,55,NA,55,55,NA,April
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,101,54,47,98,3,3,3,NA,NA,3,NA,NA,NA,NA,NA,2,2,NA,2,0,2,2,NA,2,NA,2,2,NA,2,NA,45,45,NA,45,0,47,NA,47,47,NA,April
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1088,1083,5,860,228,86,86,NA,NA,86,18,18,NA,18,NA,533,533,NA,439,94,0,0,NA,0,NA,63,63,NA,63,NA,383,383,NA,335,48,5,NA,5,5,NA,April
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,807,803,4,659,148,60,60,NA,NA,60,NA,NA,NA,NA,NA,462,462,NA,461,1,NA,NA,NA,NA,NA,82,82,NA,82,NA,199,199,NA,112,87,4,NA,4,4,NA,April
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,97,92,5,9,88,0,0,NA,NA,0,NA,NA,NA,NA,NA,88,88,NA,0,88,NA,NA,NA,NA,NA,0,0,NA,0,NA,4,4,NA,4,NA,5,NA,5,5,NA,April
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,9,0,9,9,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,9,NA,9,9,NA,April
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,193,169,24,24,169,169,169,NA,NA,169,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,24,NA,24,24,NA,April
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,1342,1320,22,1050,292,86,86,NA,NA,86,20,20,NA,20,NA,655,655,NA,567,88,3,3,NA,3,NA,71,71,NA,71,NA,485,485,NA,367,118,22,NA,22,22,NA,April
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,629,619,10,516,113,NA,NA,NA,NA,NA,2,2,NA,2,NA,329,329,NA,289,40,NA,NA,NA,NA,NA,33,33,NA,33,NA,255,255,NA,182,73,10,NA,10,10,NA,April
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,595,581,14,502,93,NA,NA,NA,NA,NA,2,2,NA,2,NA,317,317,NA,269,48,NA,NA,NA,NA,NA,38,38,NA,38,NA,224,224,NA,179,45,14,NA,14,14,NA,April
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,20,15,5,13,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,7,0,1,1,NA,1,NA,NA,NA,NA,NA,NA,7,7,NA,0,7,5,NA,5,5,NA,April
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,53,53,0,53,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,29,NA,29,0,NA,NA,NA,NA,NA,6,6,NA,6,NA,18,18,NA,18,NA,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,2,0,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,2,NA,2,2,NA,April
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,103,103,0,37,66,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103,103,NA,37,66,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,1094,1092,2,982,112,NA,NA,NA,NA,NA,0,0,NA,0,NA,580,580,NA,580,0,NA,NA,NA,NA,NA,52,52,NA,52,NA,460,460,NA,348,112,2,NA,2,2,NA,April
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,1557,1539,18,1246,311,110,110,NA,NA,110,9,9,NA,9,NA,783,783,NA,693,90,9,9,NA,9,NA,119,119,NA,119,NA,509,509,NA,398,111,18,NA,18,18,NA,April
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,1465,1451,14,1223,242,110,110,NA,NA,110,17,17,NA,17,NA,802,802,NA,712,90,10,10,NA,10,NA,119,119,NA,119,NA,393,393,NA,351,42,14,NA,14,14,NA,April
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,207,116,91,207,0,NA,NA,NA,NA,NA,9,9,NA,9,NA,0,0,NA,0,0,11,11,NA,11,NA,29,29,NA,29,NA,67,67,NA,67,0,91,NA,91,91,NA,April
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,0,0,0,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,35,0,35,35,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,35,NA,35,35,NA,April
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,798,679,119,676,122,NA,NA,NA,NA,NA,11,11,NA,11,NA,334,334,NA,275,59,15,15,NA,15,NA,37,37,NA,37,NA,282,282,NA,219,63,119,NA,119,119,NA,April
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,223,163,60,197,26,NA,NA,NA,NA,NA,12,12,NA,12,NA,101,101,NA,84,17,16,16,NA,16,NA,3,3,NA,3,NA,31,31,NA,22,9,60,NA,60,60,NA,April
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,93,81,12,87,6,NA,NA,NA,NA,NA,6,6,NA,6,NA,43,43,NA,37,6,12,12,NA,12,NA,14,14,NA,14,NA,6,6,NA,6,0,12,NA,12,12,NA,April
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,518,461,57,460,58,9,9,NA,NA,9,24,24,NA,24,NA,233,233,NA,207,26,3,3,NA,3,NA,43,43,NA,43,NA,149,149,NA,126,23,57,NA,57,57,NA,April
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,509,453,56,451,58,9,9,NA,NA,9,21,21,NA,21,NA,232,232,NA,206,26,3,3,NA,3,NA,43,43,NA,43,NA,145,145,NA,122,23,56,NA,56,56,NA,April
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,268,268,0,245,23,0,0,NA,NA,0,NA,NA,NA,NA,NA,163,163,NA,163,0,NA,NA,NA,NA,NA,31,31,NA,31,NA,74,74,NA,51,23,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,971,964,7,715,256,216,216,NA,NA,216,7,7,NA,7,NA,413,413,NA,413,0,9,9,NA,9,NA,33,33,NA,33,NA,286,286,NA,246,40,7,NA,7,7,NA,April
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,453,451,2,430,23,16,16,NA,NA,16,14,14,NA,14,NA,120,120,NA,120,0,4,4,NA,4,NA,49,49,NA,49,NA,248,248,NA,241,7,2,NA,2,2,NA,April
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,192,192,0,187,5,5,5,NA,NA,5,15,15,NA,15,NA,103,103,NA,103,0,NA,NA,NA,NA,NA,5,5,NA,5,NA,64,64,NA,64,0,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,165,160,5,15,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150,150,NA,0,150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,NA,10,NA,5,NA,5,5,NA,April
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,1,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,NA,April
M10 [Number of cases of Childhood Diseases (0-5 years)],10.1,Childhood Diseases - Pneumonia,TOTAL,21,20,1,3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,NA,2,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,April
M10 [Number of cases of Childhood Diseases (0-5 years)],10.2,Childhood Diseases - Asthma,TOTAL,27,13,14,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,13,NA,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,14,14,NA,April
M10 [Number of cases of Childhood Diseases (0-5 years)],10.3,Childhood Diseases - Sepsis,TOTAL,7,7,0,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,NA,0,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M10 [Number of cases of Childhood Diseases (0-5 years)],10.4,Childhood Diseases - Diphtheria,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M10 [Number of cases of Childhood Diseases (0-5 years)],10.5,Childhood Diseases - Pertussis,TOTAL,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M10 [Number of cases of Childhood Diseases (0-5 years)],10.6,Childhood Diseases - Tetanus Neonatorum,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M10 [Number of cases of Childhood Diseases (0-5 years)],10.7,Childhood Diseases - Tuberculosis (TB),TOTAL,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M10 [Number of cases of Childhood Diseases (0-5 years)],10.8,Childhood Diseases - Acute Flaccid Paralysis(AFP),TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
M10 [Number of cases of Childhood Diseases (0-5 years)],10.9,Childhood Diseases - Measles,TOTAL,1,1,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,April
