Indicator,S.No.,Parameters,Type,SubDistrict-_South-Total [(A+B) or (C+D)],SubDistrict-_South-Public [A],SubDistrict-_South-Private [B],SubDistrict-_South-Urban [C],SubDistrict-_South-Rural [D],SubDistrict-Autonomous-Total [(A+B) or (C+D)],SubDistrict-Autonomous-Public [A],SubDistrict-Autonomous-Private [B],SubDistrict-Autonomous-Urban [C],SubDistrict-Autonomous-Rural [D],SubDistrict-CGHS-Total [(A+B) or (C+D)],SubDistrict-CGHS-Public [A],SubDistrict-CGHS-Private [B],SubDistrict-CGHS-Urban [C],SubDistrict-CGHS-Rural [D],SubDistrict-Delhi Govt-Total [(A+B) or (C+D)],SubDistrict-Delhi Govt-Public [A],SubDistrict-Delhi Govt-Private [B],SubDistrict-Delhi Govt-Urban [C],SubDistrict-Delhi Govt-Rural [D],SubDistrict-ESI-Total [(A+B) or (C+D)],SubDistrict-ESI-Public [A],SubDistrict-ESI-Private [B],SubDistrict-ESI-Urban [C],SubDistrict-ESI-Rural [D],SubDistrict-IPP VIII-MCD-Total [(A+B) or (C+D)],SubDistrict-IPP VIII-MCD-Public [A],SubDistrict-IPP VIII-MCD-Private [B],SubDistrict-IPP VIII-MCD-Urban [C],SubDistrict-IPP VIII-MCD-Rural [D],SubDistrict-MCW Centres MCD-Total [(A+B) or (C+D)],SubDistrict-MCW Centres MCD-Public [A],SubDistrict-MCW Centres MCD-Private [B],SubDistrict-MCW Centres MCD-Urban [C],SubDistrict-MCW Centres MCD-Rural [D],SubDistrict-Private-Total [(A+B) or (C+D)],SubDistrict-Private-Public [A],SubDistrict-Private-Private [B],SubDistrict-Private-Urban [C],SubDistrict-Private-Rural [D],Month,Year
M4 [Pregnancy outcome & details of new-born],4.4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,658,453,205,213,445,158,158,NA,NA,158,NA,NA,NA,NA,NA,264,264,NA,12,252,NA,NA,NA,NA,NA,8,8,NA,8,NA,23,23,NA,23,NA,205,NA,205,170,35,February,2018
M5 [Complicated Pregnancies],5.1,"Number of cases of pregnant women with Obstetric Complications attended (Antepartum haemorrhage (APH), Post-Partum Hemorrhage (PPH), Sepsis, Eclampsia and others)",TOTAL,219,212,7,7,212,121,121,NA,NA,121,NA,NA,NA,NA,NA,91,91,NA,NA,91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,7,7,0,February,2018
M5 [Complicated Pregnancies],5.2,Number of Complicated pregnancies treated with Blood Transfusion,TOTAL,17,14,3,3,14,4,4,NA,NA,4,NA,NA,NA,NA,NA,10,10,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,3,0,February,2018
M6 [Post Natal Care (PNC)],6.1,Women receiving 1st post partum checkup within 48 hours of home delivery,TOTAL,29,29,0,29,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,NA,12,0,NA,NA,NA,NA,NA,9,9,NA,9,NA,8,8,NA,8,NA,0,NA,0,0,0,February,2018
M6 [Post Natal Care (PNC)],6.2,Women receiving 1st post partum checkup between 48 hours and 14 days,TOTAL,413,159,254,225,188,97,97,NA,NA,97,NA,NA,NA,NA,NA,56,56,NA,0,56,NA,NA,NA,NA,NA,0,0,NA,0,NA,6,6,NA,6,NA,254,NA,254,219,35,February,2018
M6 [Post Natal Care (PNC)],6.3,Number of mothers provided full course of 180 IFA tablets after delivery,TOTAL,751,541,210,437,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,314,NA,0,314,NA,NA,NA,NA,NA,47,47,NA,47,NA,180,180,NA,180,NA,210,NA,210,210,0,February,2018
M6 [Post Natal Care (PNC)],6.4,Number of mothers provided 360 Calcium tablets after delivery,TOTAL,770,541,229,456,314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314,314,NA,0,314,NA,NA,NA,NA,NA,47,47,NA,47,NA,180,180,NA,180,NA,229,NA,229,229,0,February,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.1,New RTI/STI cases identified - Male,TOTAL,74,73,1,66,8,0,0,NA,NA,0,2,2,NA,2,NA,22,22,NA,22,NA,0,0,NA,0,NA,8,8,NA,8,NA,41,41,NA,33,8,1,NA,1,1,0,February,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.1.2,New RTI/STI cases identified - Female,TOTAL,306,300,6,212,94,11,11,NA,NA,11,4,4,NA,4,NA,84,84,NA,84,NA,0,0,NA,0,NA,15,15,NA,15,NA,186,186,NA,103,83,6,NA,6,6,0,February,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.1,RTI/STI for which treatment initiated - Male,TOTAL,72,71,1,64,8,0,0,NA,NA,0,0,0,NA,0,NA,22,22,NA,22,NA,NA,NA,NA,NA,NA,8,8,NA,8,NA,41,41,NA,33,8,1,NA,1,1,0,February,2018
M7 [Reproductive Tract Infections/Sexually Transmitted Infections (RTI/STI) Cases],7.2.2,RTI/STI for which treatment initiated -Female,TOTAL,304,298,6,210,94,11,11,NA,NA,11,2,2,NA,2,NA,84,84,NA,84,NA,NA,NA,NA,NA,NA,15,15,NA,15,NA,186,186,NA,103,83,6,NA,6,6,0,February,2018
M8 [Family Planning],8.1.1,Number of Non Scalpel Vasectomy (NSV) / Conventional Vasectomy conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M8 [Family Planning],8.2.1,Number of Laparoscopic sterilizations (excluding post abortion) conducted,TOTAL,36,35,1,0,36,35,35,NA,NA,35,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,0,1,February,2018
M8 [Family Planning],8.2.2,Number of Interval Mini-lap (other than post-partum and post abortion) sterilizations conducted,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M8 [Family Planning],8.2.3,Number of Postpartum sterilizations (within 7 days of delivery by minilap or concurrent with caesarean section) conducted,TOTAL,11,6,5,2,9,5,5,NA,NA,5,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,2,3,February,2018
M8 [Family Planning],8.2.4,Number of Post Abortion sterilizations (within 7 days of spontaneous or surgical abortion) conducted,TOTAL,31,31,0,0,31,27,27,NA,NA,27,NA,NA,NA,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M8 [Family Planning],8.3,Number of Interval IUCD Insertions (excluding PPIUCD and PAIUCD),TOTAL,200,181,19,86,114,23,23,NA,NA,23,2,2,NA,2,NA,69,69,NA,52,17,0,0,NA,0,NA,3,3,NA,3,NA,84,84,NA,27,57,19,NA,19,2,17,February,2018
M8 [Family Planning],8.4,Number of Postpartum (within 48 hours of delivery) IUCD insertions,TOTAL,106,106,0,0,106,54,54,NA,NA,54,NA,NA,NA,NA,NA,52,52,NA,0,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,February,2018
M8 [Family Planning],8.5,Number of Post Abortion (within 12 days of spontaneous or surgical abortion) IUCD insertions,TOTAL,30,30,0,2,28,20,20,NA,NA,20,NA,NA,NA,NA,NA,10,10,NA,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,February,2018
M8 [Family Planning],8.6,Number of IUCD Removals,TOTAL,88,74,14,33,55,17,17,NA,NA,17,NA,NA,NA,NA,NA,36,36,NA,15,21,0,0,NA,0,NA,NA,NA,NA,NA,NA,21,21,NA,9,12,14,NA,14,9,5,February,2018
M8 [Family Planning],8.7,Number of complications following IUCD Insertion,TOTAL,1,0,1,1,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,1,NA,1,1,0,February,2018
M8 [Family Planning],8.8,Injectable Contraceptive-Antara Program- First Dose,TOTAL,93,93,0,64,29,14,14,NA,NA,14,1,1,NA,1,NA,60,60,NA,49,11,0,0,NA,0,NA,10,10,NA,10,NA,8,8,NA,4,4,0,NA,0,0,0,February,2018
M8 [Family Planning],8.9,Injectable Contraceptive-Antara Program- Second Dose,TOTAL,24,24,0,17,7,0,0,NA,NA,0,NA,NA,NA,NA,NA,15,15,NA,14,1,0,0,NA,0,NA,3,3,NA,3,NA,6,6,NA,0,6,0,NA,0,0,0,February,2018
M8 [Family Planning],8.1,Injectable Contraceptive-Antara Program- Third Dose,TOTAL,16,16,0,3,13,0,0,NA,NA,0,NA,NA,NA,NA,NA,3,3,NA,3,0,0,0,NA,0,NA,0,0,NA,0,NA,13,13,NA,0,13,0,NA,0,0,0,February,2018
M8 [Family Planning],8.11,Injectable Contraceptive-Antara Program- Fourth or more than fourth,TOTAL,2,2,0,1,1,0,0,NA,NA,0,NA,NA,NA,NA,NA,2,2,NA,1,1,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,February,2018
M8 [Family Planning],8.12,Number of Combined Oral Pill cycles distributed,TOTAL,863,836,27,694,169,53,53,NA,NA,53,7,7,NA,7,NA,352,352,NA,286,66,3,3,NA,3,NA,107,107,NA,107,NA,314,314,NA,264,50,27,NA,27,27,0,February,2018
M8 [Family Planning],8.13,Number of Condom pieces distributed,TOTAL,46644,46632,12,37244,9400,6500,6500,NA,NA,6500,4500,4500,NA,4500,NA,15043,15043,NA,15043,0,1000,1000,NA,1000,NA,2570,2570,NA,2570,NA,17019,17019,NA,14119,2900,12,NA,12,12,0,February,2018
M8 [Family Planning],8.14,Number of Centchroman (weekly) pill strips distributed,TOTAL,297,297,0,241,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,182,182,NA,135,47,0,0,NA,0,NA,47,47,NA,47,NA,68,68,NA,59,9,0,NA,0,0,0,February,2018
M8 [Family Planning],8.15,Number of Emergency Contraceptive Pills (ECP) given,TOTAL,228,224,4,198,30,NA,NA,NA,NA,NA,2,2,NA,2,NA,91,91,NA,81,10,1,1,NA,1,NA,45,45,NA,45,NA,85,85,NA,65,20,4,NA,4,4,0,February,2018
M8 [Family Planning],8.16,Number of Pregnancy Test Kits (PTK) used,TOTAL,1566,1494,72,1506,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,969,969,NA,969,0,10,10,NA,10,NA,69,69,NA,69,NA,446,446,NA,386,60,72,NA,72,72,NA,February,2018
M8 [Family Planning],8.17.1,Complications following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M8 [Family Planning],8.17.2,Complications following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M8 [Family Planning],8.17.3,Failures following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M8 [Family Planning],8.17.4,Failures following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M8 [Family Planning],8.17.5,Deaths following male sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M8 [Family Planning],8.17.6,Deaths following female sterilization,TOTAL,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M9 [CHILD IMMUNISATION],9.1.1,Child immunisation - Vitamin K1 (Birth Dose),TOTAL,583,313,270,270,313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,313,313,NA,NA,313,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,270,NA,270,270,0,February,2018
M9 [CHILD IMMUNISATION],9.1.2,Child immunisation - BCG,TOTAL,1049,671,378,386,663,163,163,NA,NA,163,NA,NA,NA,NA,NA,406,406,NA,57,349,0,0,NA,0,NA,16,16,NA,16,NA,86,86,NA,47,39,378,NA,378,266,112,February,2018
M9 [CHILD IMMUNISATION],9.1.3,Child immunisation - DPT1,TOTAL,107,3,104,93,14,0,0,NA,NA,0,0,0,NA,0,NA,3,3,NA,1,2,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,104,NA,104,92,12,February,2018
M9 [CHILD IMMUNISATION],9.1.4,Child immunisation - DPT2,TOTAL,59,1,58,52,7,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,1,1,NA,0,1,58,NA,58,52,6,February,2018
M9 [CHILD IMMUNISATION],9.1.5,Child immunisation - DPT3,TOTAL,65,2,63,61,4,0,0,NA,NA,0,0,0,NA,0,NA,1,1,NA,1,0,0,0,NA,0,NA,1,1,NA,1,NA,0,0,NA,0,0,63,NA,63,59,4,February,2018
M9 [CHILD IMMUNISATION],9.1.6,Child immunisation - Pentavalent 1,TOTAL,1715,1570,145,1148,567,133,133,NA,NA,133,20,20,NA,20,NA,757,757,NA,576,181,4,4,NA,4,NA,70,70,NA,70,NA,586,586,NA,352,234,145,NA,145,126,19,February,2018
M9 [CHILD IMMUNISATION],9.1.7,Child immunisation - Pentavalent 2,TOTAL,1589,1489,100,1186,403,97,97,NA,NA,97,23,23,NA,23,NA,773,773,NA,676,97,3,3,NA,3,NA,78,78,NA,78,NA,515,515,NA,327,188,100,NA,100,79,21,February,2018
M9 [CHILD IMMUNISATION],9.1.8,Child immunisation - Pentavalent 3,TOTAL,1523,1444,79,1175,348,58,58,NA,NA,58,24,24,NA,24,NA,731,731,NA,629,102,11,11,NA,11,NA,71,71,NA,71,NA,549,549,NA,368,181,79,NA,79,72,7,February,2018
M9 [CHILD IMMUNISATION],9.1.9,Child immunisation - OPV 0 (Birth Dose),TOTAL,899,518,381,296,603,163,163,NA,NA,163,NA,NA,NA,NA,NA,318,318,NA,5,313,0,0,NA,0,NA,16,16,NA,16,NA,21,21,NA,6,15,381,NA,381,269,112,February,2018
M9 [CHILD IMMUNISATION],9.1.10,Child immunisation - OPV1,TOTAL,1680,1573,107,1118,562,133,133,NA,NA,133,20,20,NA,20,NA,760,760,NA,577,183,4,4,NA,4,NA,70,70,NA,70,NA,586,586,NA,352,234,107,NA,107,95,12,February,2018
M9 [CHILD IMMUNISATION],9.1.11,Child immunisation - OPV2,TOTAL,1559,1489,70,1171,388,97,97,NA,NA,97,23,23,NA,23,NA,773,773,NA,676,97,3,3,NA,3,NA,78,78,NA,78,NA,515,515,NA,327,188,70,NA,70,64,6,February,2018
M9 [CHILD IMMUNISATION],9.1.12,Child immunisation - OPV3,TOTAL,1579,1446,133,1234,345,58,58,NA,NA,58,24,24,NA,24,NA,734,734,NA,632,102,9,9,NA,9,NA,72,72,NA,72,NA,549,549,NA,368,181,133,NA,133,129,4,February,2018
M9 [CHILD IMMUNISATION],9.1.13,Child immunisation - Hepatitis-B0 (Birth Dose),TOTAL,847,474,373,275,572,163,163,NA,NA,163,NA,NA,NA,NA,NA,293,293,NA,3,290,0,0,NA,0,NA,8,8,NA,8,NA,10,10,NA,3,7,373,NA,373,261,112,February,2018
M9 [CHILD IMMUNISATION],9.1.14,Child immunisation - Hepatitis-B1,TOTAL,103,0,103,103,0,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,103,NA,103,103,0,February,2018
M9 [CHILD IMMUNISATION],9.1.15,Child immunisation - Hepatitis-B2,TOTAL,46,2,44,43,3,2,2,NA,NA,2,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,44,NA,44,43,1,February,2018
M9 [CHILD IMMUNISATION],9.1.16,Child immunisation - Hepatitis-B3,TOTAL,40,0,40,39,1,0,0,NA,NA,0,0,0,NA,0,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,40,NA,40,39,1,February,2018
M9 [CHILD IMMUNISATION],9.1.17,Child immunisation - Inactivated Polio Vaccine 1 (IPV 1),TOTAL,1645,1565,80,1087,558,124,124,NA,NA,124,15,15,NA,15,NA,757,757,NA,576,181,9,9,NA,9,NA,70,70,NA,70,NA,590,590,NA,356,234,80,NA,80,61,19,February,2018
M9 [CHILD IMMUNISATION],9.1.18,Child immunisation - Inactivated Polio Vaccine 2 (IPV 2),TOTAL,1507,1416,91,1142,365,57,57,NA,NA,57,16,16,NA,16,NA,740,740,NA,633,107,11,11,NA,11,NA,71,71,NA,71,NA,521,521,NA,341,180,91,NA,91,70,21,February,2018
M9 [CHILD IMMUNISATION],9.1.19,Child immunisation - Rotavirus 1,TOTAL,136,0,136,113,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,136,NA,136,113,23,February,2018
M9 [CHILD IMMUNISATION],9.1.20,Child immunisation - Rotavirus 2,TOTAL,107,0,107,82,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,107,NA,107,82,25,February,2018
M9 [CHILD IMMUNISATION],9.1.21,Child immunisation - Rotavirus 3,TOTAL,82,0,82,72,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,82,NA,82,72,10,February,2018
M9 [CHILD IMMUNISATION],9.2.1,Child immunisation (9-11months) - Measles & Rubella (MR)- 1st Dose,TOTAL,1432,1379,53,1129,303,45,45,NA,NA,45,13,13,NA,13,NA,698,698,NA,614,84,4,4,NA,4,NA,79,79,NA,79,NA,540,540,NA,366,174,53,NA,53,53,0,February,2018
M9 [CHILD IMMUNISATION],9.2.2,Child immunisation (9-11months) - Measles 1st dose,TOTAL,27,7,20,27,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,0,7,7,NA,7,NA,0,0,NA,0,NA,0,0,NA,0,NA,20,NA,20,20,0,February,2018
M9 [CHILD IMMUNISATION],9.2.3,Child immunisation (9-11months) - JE 1st dose,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M9 [CHILD IMMUNISATION],9.2.4.a,Children aged between 9 and 11 months fully immunized- Male,TOTAL,663,634,29,539,124,7,7,NA,NA,7,8,8,NA,8,NA,343,343,NA,303,40,3,3,NA,3,NA,37,37,NA,37,NA,236,236,NA,159,77,29,NA,29,29,0,February,2018
M9 [CHILD IMMUNISATION],9.2.4.b,Children aged between 9 and 11 months fully immunized - Female,TOTAL,667,646,21,532,135,5,5,NA,NA,5,5,5,NA,5,NA,349,349,NA,305,44,4,4,NA,4,NA,42,42,NA,42,NA,241,241,NA,155,86,21,NA,21,21,0,February,2018
M9 [CHILD IMMUNISATION],9.3.1,Child immunisation - Measles & Rubella (MR)- 1st Dose,TOTAL,45,37,8,44,1,0,0,NA,NA,0,8,8,NA,8,NA,20,20,NA,20,0,0,0,NA,0,NA,2,2,NA,2,NA,7,7,NA,6,1,8,NA,8,8,0,February,2018
M9 [CHILD IMMUNISATION],9.3.2,Child immunisation - Measles-1st dose,TOTAL,6,0,6,6,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,6,NA,6,6,0,February,2018
M9 [CHILD IMMUNISATION],9.3.3,Child immunisation - JE 1st dose,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,0,February,2018
M9 [CHILD IMMUNISATION],9.4.1,Child immunisation - Measles & Rubella (MR)- 2nd Dose (16-24 months),TOTAL,8,0,8,8,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,8,NA,8,8,0,February,2018
M9 [CHILD IMMUNISATION],9.4.2,Child immunisation - Measles 2nd dose (More than 16 months),TOTAL,8,0,8,8,0,0,0,NA,NA,0,NA,NA,NA,NA,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,0,NA,0,NA,8,NA,8,8,0,February,2018
M9 [CHILD IMMUNISATION],9.4.3,Child immunisation - DPT 1st Booster,TOTAL,1812,1742,70,1455,357,68,68,NA,NA,68,17,17,NA,17,NA,917,917,NA,817,100,10,10,NA,10,NA,79,79,NA,79,NA,651,651,NA,470,181,70,NA,70,62,8,February,2018
M9 [CHILD IMMUNISATION],9.4.4,Child immunisation - OPV Booster,TOTAL,1849,1794,55,1443,406,117,117,NA,NA,117,20,20,NA,20,NA,917,917,NA,817,100,10,10,NA,10,NA,79,79,NA,79,NA,651,651,NA,470,181,55,NA,55,47,8,February,2018
M9 [CHILD IMMUNISATION],9.4.5,"Child immunisation - Measles, Mumps, Rubella (MMR) Vaccine",TOTAL,1902,1788,114,1479,423,93,93,NA,NA,93,17,17,NA,17,NA,910,910,NA,803,107,0,0,NA,0,NA,77,77,NA,77,NA,691,691,NA,510,181,114,NA,114,72,42,February,2018
M9 [CHILD IMMUNISATION],9.4.6,Number of children more than 16 months of age who received Japanese Encephalitis (JE) vaccine,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,0,NA,0,0,0,February,2018
M9 [CHILD IMMUNISATION],9.5.1,Child immunisation - Typhoid,TOTAL,384,267,117,195,189,86,86,NA,NA,86,2,2,NA,2,NA,159,159,NA,81,78,0,0,NA,0,NA,0,0,NA,0,NA,20,20,NA,20,0,117,NA,117,92,25,February,2018
M9 [CHILD IMMUNISATION],9.5.2,Children more than 5 years received DPT5 (2nd Booster),TOTAL,774,719,55,608,166,74,74,NA,NA,74,17,17,NA,17,NA,340,340,NA,332,8,1,1,NA,1,NA,32,32,NA,32,NA,255,255,NA,179,76,55,NA,55,47,8,February,2018
M9 [CHILD IMMUNISATION],9.5.3,Children more than 10 years received TT10,TOTAL,262,233,29,165,97,48,48,NA,NA,48,9,9,NA,9,NA,107,107,NA,81,26,5,5,NA,5,NA,5,5,NA,5,NA,59,59,NA,36,23,29,NA,29,29,0,February,2018
M9 [CHILD IMMUNISATION],9.5.4,Children more than 16 years received TT16,TOTAL,104,95,9,75,29,7,7,NA,NA,7,14,14,NA,14,NA,49,49,NA,31,18,6,6,NA,6,NA,11,11,NA,11,NA,8,8,NA,4,4,9,NA,9,9,0,February,2018
M9 [CHILD IMMUNISATION],9.6.1,Number of cases of AEFI - Abscess,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,February,2018
M9 [CHILD IMMUNISATION],9.6.2,Number of cases of AEFI - Death,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,February,2018
M9 [CHILD IMMUNISATION],9.6.3,Number of cases of AEFI - Others,TOTAL,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,0,0,0,NA,0,NA,0,0,NA,0,NA,0,0,NA,0,0,0,NA,0,0,0,February,2018
M9 [CHILD IMMUNISATION],9.7.1,Immunisation sessions planned,TOTAL,501,443,58,462,39,8,8,NA,NA,8,24,24,NA,24,NA,187,187,NA,187,0,NA,NA,NA,NA,NA,42,42,NA,42,NA,182,182,NA,151,31,58,NA,58,58,0,February,2018
M9 [CHILD IMMUNISATION],9.7.2,Immunisation sessions held,TOTAL,492,436,56,453,39,8,8,NA,NA,8,23,23,NA,23,NA,182,182,NA,182,0,NA,NA,NA,NA,NA,42,42,NA,42,NA,181,181,NA,150,31,56,NA,56,56,0,February,2018
M9 [CHILD IMMUNISATION],9.7.3,Number of Immunisation sessions where ASHAs were present,TOTAL,325,325,0,298,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,160,160,NA,160,0,NA,NA,NA,NA,NA,28,28,NA,28,NA,137,137,NA,110,27,0,NA,0,0,0,February,2018
M9 [CHILD IMMUNISATION],9.8.1,Child immunisation - Vitamin A Dose - 1,TOTAL,1434,1417,17,1120,314,56,56,NA,NA,56,47,47,NA,47,NA,705,705,NA,621,84,7,7,NA,7,NA,81,81,NA,81,NA,521,521,NA,347,174,17,NA,17,17,0,February,2018
M9 [CHILD IMMUNISATION],9.8.2,Child immunisation - Vitamin A Dose - 5,TOTAL,1135,1127,8,895,240,36,36,NA,NA,36,31,31,NA,31,NA,352,352,NA,166,186,10,10,NA,10,NA,51,51,NA,51,NA,647,647,NA,629,18,8,NA,8,8,0,February,2018
M9 [CHILD IMMUNISATION],9.8.3,Child immunisation - Vitamin A Dose - 9,TOTAL,449,444,5,267,182,60,60,NA,NA,60,23,23,NA,23,NA,242,242,NA,120,122,10,10,NA,10,NA,24,24,NA,24,NA,85,85,NA,85,0,5,NA,5,5,0,February,2018
M9 [CHILD IMMUNISATION],9.9,Number of children (6-59 months) provided 8-10 doses (1ml) of IFA syrup (Bi weekly),TOTAL,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,0,NA,February,2018
M9 [CHILD IMMUNISATION],9.1,Number of children (12-59 months) provided Albendazole,TOTAL,475,474,1,118,357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,145,NA,35,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329,329,NA,82,247,1,NA,1,1,NA,February,2018
M9 [CHILD IMMUNISATION],9.11,Number of severely underweight children provided Health Checkup (0-5 yrs),TOTAL,36,36,0,1,35,31,31,NA,NA,31,NA,NA,NA,NA,NA,1,1,NA,1,NA,0,0,NA,0,NA,NA,NA,NA,NA,NA,4,4,NA,NA,4,0,NA,0,0,0,February,2018
